cluster,total_avg_rtt,total_avg_tp,total_avg_tcp
1,100.0,6410.0,2228764.0
0,16.0,100.0,108259.0
2,128.0,109.0,6622452.25
2,68.0,202.0,11439579.40625
1,157.0,7798.0,322572.0
1,127.0,6807.0,1275273.25
0,30.0,91.0,888413.25
0,36.0,10764.0,80763.0
0,37.0,98.0,38649.0
0,50.0,121.0,194963.0
2,100.0,171.0,2583630.25
1,42.0,52768.75,118188.0
1,147.0,961.0,82643.0
0,39.0,89.0,280134.0
1,76.0,20916.0,57120.0
0,50.0,127.0,11794.0
0,50.0,67.0,492929.0
0,58.0,2054.0,15381.0
2,100.0,131.0,7725675.875
0,46.0,122.0,1430972.0
1,188.0,38738.0,2048579.0
0,50.0,97.0,6159.0
1,79.0,35936.0,1540421.0
0,55.0,6586.0,12574.0
1,87.0,52877.75,5070275.0
2,50.0,138.0,6295448.0
2,114.0,478.0,8866375.875
1,158.0,41589.0,250096.0
2,50.0,115.0,7883135.125
0,47.0,81.0,1322558.0
1,79.0,39671.5,6735757.0
0,39.0,15761.0,15623.0
0,51.0,93.0,21746.0
2,98.0,262.0,8475625.875
1,100.0,39593.5,73274.0
1,185.0,51702.0,201736.25
1,194.5,22158.5,11439579.40625
0,49.0,143.0,206614.0
2,50.0,101.0,7883135.125
0,50.0,55.0,2939836.25
2,99.0,148.0,7008481.25
0,51.0,25838.0,20813.0
1,84.0,51349.25,49650.0
1,125.0,52860.75,10669566.875
0,50.0,124.0,150485.0
0,66.0,2121.0,20501.0
1,119.0,29173.0,1906642.0
1,191.0,17445.0,1195683.0
1,68.0,39194.5,1876601.0
0,29.0,75.0,2851931.0
0,106.0,823.0,948487.0
1,143.0,40613.0,830271.0
1,78.0,28874.0,119828.0
1,75.0,50981.5,26754.0
1,111.0,9946.0,661409.0
0,31.0,78.0,2980289.0
2,79.0,57.0,7716646.875
1,98.0,52852.75,11439579.40625
0,29.0,80.0,80928.0
2,98.0,89.0,5056119.25
0,48.0,63.0,49286.0
1,91.0,51388.25,7734941.875
0,50.0,86.0,22709.0
1,108.0,18920.0,19264.0
1,152.0,55587.5,27679.0
0,29.0,99.0,19307.0
0,29.0,93.0,2807276.0
1,171.0,25463.0,1454547.0
0,42.0,103.0,11417.0
2,79.0,285.0,9811525.0
1,152.0,19494.0,382468.0
2,92.0,251.0,11439579.40625
0,86.0,14559.5,42948.0
0,50.0,63.0,2144987.0
0,50.0,96.0,8118.0
0,76.0,185.0,1733149.0
2,53.0,85.0,6773332.0
1,61.0,42243.0,168640.0
0,49.0,3885.0,42762.0
0,21.0,96.0,2775122.0
1,108.0,7920.0,3302750.0
1,68.0,38809.5,2646120.0
0,50.0,85.0,36504.0
0,102.0,1080.0,96136.0
1,108.0,52553.25,1651348.0
0,50.0,64.0,15484.0
2,60.0,297.0,7883135.125
0,40.0,509.0,115921.0
1,74.0,52768.75,5145210.0
1,73.0,40013.5,4626243.0
0,51.0,65.0,170368.25
0,80.0,85.0,417272.0
0,39.0,109.0,27100.0
1,133.0,51285.25,11439579.40625
1,55.0,42407.0,48840.0
0,50.0,100.0,34177.0
2,150.0,652.0,8788772.125
0,119.0,1322.0,220191.0
0,40.0,465.0,1201213.0
1,128.0,47753.5,549946.0
1,95.0,52858.75,8054015.375
1,92.0,51161.25,1600978.0
1,47.0,52643.25,2245739.0
1,133.0,5610.0,45974.0
0,91.0,168.0,67303.0
1,46.0,35206.0,649592.0
1,34.0,35541.5,178891.0
1,60.0,33526.0,87864.0
0,50.0,97.0,1742973.0
1,143.0,45363.5,1568467.0
0,28.0,89.0,35035.0
0,106.0,63.0,18401.0
0,44.0,10940.0,1837.0
2,50.0,111.0,6734787.0
0,62.0,96.0,1368.0
1,64.0,52493.25,67937.0
1,113.0,13291.5,94341.0
0,110.0,689.0,42736.0
0,50.0,111.0,1313.0
0,39.0,125.0,12115.0
0,127.0,1838.0,13058.0
0,112.0,6610.0,48416.0
0,79.0,80.0,121583.0
0,50.0,141.0,282425.0
1,170.0,20571.0,955423.0
0,29.0,148.0,2163797.0
1,125.0,18047.0,1463594.0
0,47.0,175.0,56840.0
0,81.0,68.0,1439805.0
0,50.0,95.0,6774.0
0,64.0,75.0,5002.0
0,47.0,118.0,13216.0
0,30.0,77.0,106033.0
2,56.0,199.0,10345486.875
1,46.0,47432.0,61547.0
0,22.0,120.0,2424480.25
2,105.0,25027.5,7114162.0
0,107.0,287.0,10224.0
0,59.0,20651.0,45559.0
0,37.0,25261.0,2268883.0
0,46.0,112.0,3187921.0
0,62.0,89.0,1327752.0
1,160.0,51709.25,11439579.40625
0,14.0,79.0,798982.0
2,53.0,80.0,7883135.125
1,108.0,52927.75,1314879.0
2,46.0,3515.0,7724626.875
2,46.0,168.0,9511683.875
2,113.0,1690.0,5436532.0
0,50.0,15.0,31013.0
1,73.0,52768.75,194886.0
0,50.0,111.0,424538.0
0,39.0,107.0,17239.0
2,27.0,63.0,7714208.875
0,61.0,127.0,1130.0
2,41.0,87.0,7741153.875
2,108.0,12934.0,7787131.875
2,50.0,111.0,7883135.125
0,100.0,234.0,1807839.25
0,41.0,2675.0,27915.0
0,50.0,123.0,6011.0
0,29.0,90.0,12100.0
0,36.0,91.0,1069005.0
0,39.0,154.0,1425733.0
1,41.0,37439.0,1947727.0
0,50.0,180.0,1497555.0
2,123.0,38052.0,11439579.40625
1,81.0,52768.75,125110.0
0,55.0,85.0,17539.0
0,108.0,7896.0,264811.0
1,115.0,37479.0,7891750.125
0,69.0,57.0,4017.0
2,79.0,375.0,7906566.125
2,21.0,87.0,4133012.0
1,127.0,39674.0,7878249.875
1,54.0,29195.5,83420.0
0,85.0,11826.5,837144.0
0,44.0,340.0,21398.0
0,50.0,15.0,1303736.0
1,69.0,29753.5,65195.0
0,50.0,94.0,18719.0
1,110.0,43051.0,2328457.0
0,34.0,63.0,1041874.0
1,104.0,39774.5,4367340.0
2,16.0,94.0,7458655.0
0,50.0,67.0,371211.0
0,76.0,71.0,120626.0
0,50.0,63.0,192059.0
0,29.0,109.0,96162.0
0,81.0,8871.0,147117.0
0,50.0,15.0,18396.0
0,22.0,115.0,73808.0
2,27.0,67.0,7715280.875
0,94.0,126.0,30259.0
0,107.0,1375.0,103368.0
0,116.0,489.0,4087.0
2,28.0,113.0,7727995.875
0,62.0,13514.0,38419.0
0,50.0,15.0,57486.0
0,77.0,483.0,667.0
0,110.0,602.0,24599.0
1,70.0,38227.0,7300.0
1,51.0,24694.0,1816793.0
0,100.0,133.0,1391376.0
0,57.0,14276.0,274942.0
2,71.0,63.0,3127220.0
0,42.0,5342.0,255652.0
0,39.0,4024.0,187888.0
0,38.0,166.0,8607.0
0,40.0,102.0,76954.0
0,35.0,106.0,169978.25
0,112.0,1529.0,12932.0
1,91.0,52839.75,1151463.0
0,46.0,1808.0,2984.0
0,22.0,105.0,1812953.0
0,48.0,17334.0,3439.0
0,79.0,153.0,128404.0
0,54.0,73.0,94310.0
1,123.0,56417.5,363664.25
2,34.0,29258.0,7738730.875
1,194.5,4192.0,7865526.875
1,165.0,51252.25,7920143.875
0,62.0,1057.0,161546.0
1,106.0,63351.6875,1561805.0
2,65.0,7530.5,11439579.40625
0,16.0,105.0,780911.0
0,17.0,121.0,253569.0
1,108.0,26637.0,5762296.0
1,144.0,8983.0,80648.0
0,84.0,1332.0,62780.0
0,50.0,15.0,1152839.0
0,81.0,4884.0,328391.0
0,50.0,98.0,605761.0
0,50.0,125.0,19710.0
2,160.0,10417.0,8647344.875
0,108.0,1156.0,23940.0
1,109.0,20874.0,4245219.25
0,50.0,15.0,563322.0
0,31.0,24692.0,2804.0
1,168.0,37581.0,960220.0
1,127.0,51332.25,7841872.875
1,73.0,52884.75,846958.0
0,80.0,202.0,153400.0
0,50.0,117.0,22957.0
2,64.0,204.0,4635977.0
0,109.0,38.0,2762.0
0,63.0,16593.0,115781.0
1,164.0,47818.0,6070990.0
0,61.0,82.0,512815.0
0,85.0,1247.0,34627.0
2,28.0,72.0,4679173.0
0,54.0,10362.0,6672.0
1,113.0,34630.0,3916.0
1,194.5,63351.6875,11439579.40625
1,47.0,51052.25,3027.0
0,54.0,74.0,1895301.0
0,88.0,953.0,85219.0
2,80.0,106.0,11315309.875
0,50.0,88.0,44002.0
1,63.0,24830.0,397322.0
0,112.0,397.0,100426.0
2,92.0,2455.0,3414004.0
2,87.0,210.0,7937286.875
